Date;Time;Route;Registration;Aboard;Aboard Passangers;Aboard Crew;Fatalities;Fatalities Passangers;Fatalities Crew;Location,Operator,AC Type
09/06/1921;;Warsaw - Prague - Strasbourg - Paris;F-ADCD;5;4;1;5;4;1;Paris, France,Franco-Roumaine,Potez IX
12/05/1921;;Geraldton - Derby;G-AUDI;2;0;2;2;0;2;Near Murchinson River, Australia,West Australian Airways,Bristol 28 Tourer
01/14/1922;;;G-EATN;5;4;1;5;4;1;Paris, France,Handley Page Transport,Handley Page O/10
02/21/1922;;;;45;NULL;NULL;34;NULL;NULL;Near Norfolk, Virginia,Military - U.S. Army Air Service,Dirigible Roma (airship)
03/22/1922;11:40;Miami - Bimini;;6;5;1;5;5;0;North Atlantic Ocean,Aero Limited,Aeromarine Model 85 (flying boat)
04/07/1922;13:15;Croydon - Le Bourget;G-EAOW/FGEAD;7;5;2;7;5;2;Grandvilliers, France,Daimler Airways / Grands Express Aeriens,de Havilland DH-18 / Farman F-60 Goliath
04/08/1922;;Test;;17;0;17;17;0;17;Pao Ting Fou, China,,NULL
06/03/1922;;Croydon - Paris;F-ACMH;3;2;1;3;2;1;Off Folkestone, Kent, England,Cie des Messageries Aeriennes,Bleriot Spad 27
07/04/1922;;Hamburg - Berlin;;3;2;1;2;1;1;Fuhlsbuttel, Germany,,LVG C VI
07/16/1922;16:45;Strasbourg - Paris;F-FREI;5;4;1;5;4;1;Near Saverne, Lorraine, France,Compagnie Franco-Roumaine de Navigaation Aerienne,Potez 29
07/26/1922;;;F-ALVE;3;2;1;3;2;1;Cadix, Spain,Grands Express Aeriens,Breguet 14
09/07/1922;;;227;1;0;1;1;0;1;Indianapolis, Indiana,US Aerial Mail Service,De Havilland DH-4
10/02/1922;;Venice - London;G-EAYT;4;3;1;4;3;1;Venice, Italy,de Havilland Air Service,de Havilland DH-9
10/25/1922;;;;2;1;1;2;1;1;Larache, Morocco,Grands Express Aeriens,Breguet 14
12/03/1922;;Toulouse - Barcelona - Valencia - Alicante - Malaga - Rabat;F-ALNA;1;0;1;1;0;1;Fez, Morocco,Grands Express Aeriens,Breguet 14
01/10/1923;;;F-AEIB;4;2;2;3;1;2;Ajaccio, France,Amee de l'Air,Lioré-et-Olivier H-13
01/17/1923;;;F-ALJU;1;0;1;1;0;1;Barcelona, Spain,Grands Express Aeriens,Breguet 14
01/18/1923;;;223;1;0;1;1;0;1;Cheyenne, Wyoming,US Aerial Mail Service,De Havilland DH-4
02/26/1923;;;291;1;0;1;1;0;1;Meadville, Pennsylvania,US Aerial Mail Service,De Havilland DH-4
05/14/1923;13:42;Paris - London;F-AEBY;6;4;2;6;4;2;Near Amiens, Picrdie, France,Grands Express Aeriens (Air Union),Farman F-60 Goliath
08/27/1923;17:30;Paris - Berck-sur-Mer - Croydon;F-AECB;11;9;2;1;1;0;East Mallling, United Kingdom,Air Union,Farman F.60 Goliath
08/27/1923;;;F-AEGN;2;1;1;2;1;1;Bucharest, Romania,Campagnie France Roumaine,Blériot Spad 46
09/07/1923;;;283;1;0;1;1;0;1;Colton, Ohio,US Aerial Mail Service,De Havilland DH-4
09/14/1923;18:00;Croydon - Manchester;G-EBBS;5;3;2;5;3;2;Near Ivinghoe, Buckinghamshire, England,Daimler Airways,de Havilland DH-34
11/18/1923;;;D-257;5;2;3;3;1;2;Russia,CCCP,Junkers F-13
12/06/1923;;;318;1;0;1;1;0;1;Castalia, Ohio,US Aerial Mail Service,De Havilland DH-4
12/23/1923;02:30;Toulon - Algiers;L-72;52;NULL;NULL;52;NULL;NULL;Over the Mediterranean Sea,Military - French Navy,Zeppelin Dixmunde (airship)
12/24/1923;;;315;1;0;1;1;0;1;Egbert, WY,US Aerial Mail Service,De Havilland DH-4
03/07/1924;;;327;1;0;1;1;0;1;Grampian, Pennsylvania,US Aerial Mail Service,De Havilland DH-4
04/24/1924;;Lympne, England - Rotterdam, The Netherlands;H-NABS;3;2;1;3;2;1;Over the English Channel,KLM Royal Dutch Airlines,Fokker F.III
06/08/1924;;Barranquilla - Bogota;A16;5;3;2;5;3;2;Barranquilla, Colombia,SCADTA,Junkers F-13
08/01/1924;;;297;1;0;1;1;0;1;United States,US Aerial Mail Service,De Havilland DH-4
11/06/1924;;;F-AFBD;1;0;1;1;0;1;Cabrerolles, France,Grands Express Aeriens,Breguet 14
12/21/1924;;;311;1;0;1;1;0;1;Goshen, Indiana,US Aerial Mail Service,De Havilland DH-4
12/24/1924;12:00;London - Paris;G-EBBX;8;7;1;8;7;1;Purley, England,Imperial Airways,de Havilland DH-34B
03/22/1925;;Tiflis - Suchumi;R-RECA;5;3;2;5;3;2;Near Tiflis, Georgia, USSR,Zakavia,Junkers F-13
04/25/1925;;Alicante - Barcelona - Toulouse;F-AFBB;3;1;2;3;1;2;Alicante, Spain,Grands Express Aeriens,Breguet 14
06/25/1925;;Amsterdam - Paris;H-NABM;4;3;1;4;3;1;Landrécies, France,KLM Royal Dutch Airlines,Fokker (KLM)  F.III
06/26/1925;;Oran - Alicante;F-FREM;2;0;2;2;0;2;Alicante, Spain,Grands Express Aeriens,Lioré-et-Olivier LeO H-13
07/20/1925;;Toulouse - Barcelona;F-AFBI;1;0;1;1;0;1;Rosas, Spain,Lignes Aeriennes Latecoere,Breguet 14
07/24/1925;;;;1;0;1;1;0;1;Budapest, Hungary,CIDNA,Potez IX
09/03/1925;05:30;Lakehurst, NJ - S.t Louis, MO;ZR-1;43;NULL;NULL;14;NULL;NULL;Caldwell, Ohio,Military - U.S. Navy,Dirigible ZR-1 Shenandoah (airship)
09/07/1925;;;;NULL;NULL;NULL;NULL;NULL;NULL;Toul, France,CIDNA,Spad 33
10/01/1925;;New York - San Francisco;385;1;0;1;1;0;1;Mt. Nittany, Ohio,US Aerial Mail Service,De Havilland DH-4
11/14/1925;;;F-AEGZ;1;0;1;1;0;1;Nouadhibou, Mauritania,Lignes Aeriennes Latecoere,Breguet 14
11/14/1925;;;F-AMFY;2;NULL;NULL;2;NULL;NULL;Off Boulogne-sur-Mer, France,Air Union,Farman F-60 Goliath
02/12/1926;;;602;1;0;1;1;0;1;Montpelier, Ohio,US Aerial Mail Service,Curtiss Carrier Pigeon
03/08/1926;;;D-290 D-290;1;0;1;1;0;1;Staaken, Germany,Deutche Lufthansa,Junkers F-13
05/31/1926;;Paris - Cryodon;F-ADAI;1;0;1;1;0;1;English Channel,Air Union,Breguet 14
07/03/1926;;Paris - Prague - Budapest;F-AFBT;6;4;2;6;4;2;Rossaugpt, Czechoslovakia,Compagnie Internationale de Navigation Aérienne,Caudron C-61
07/09/1926;09:30;Amsterdam - Rotterdam - Brussels - Paris;H-NACC;2;1;1;2;1;1;Wolvertem, Belgium,KLM Royal Dutch Airlines,Fokker F7
07/24/1926;;;D-272;5;4;1;5;4;1;Juist, Germany,Deutsche Lufthansa,Junkers F-13
08/18/1926;;Lebourget, France - Croydon, England;F-AIEB;15;13;2;3;2;1;Hurst, Kent, England,Air Union,Bleriot 155
09/26/1926;;New York - Paris;;5;4;1;2;2;0;New York, New York,,Sikorsky S-25
10/02/1926;15:27;Paris - London;F- AICQ;7;5;2;7;5;2;Leigh, Kent, Unied Kingdom,Air Union,Bleriot 155
10/08/1926;;;D-468;4;3;1;4;3;1;Bueren, Germany,Deutsche Lufthansa,Fokker FG III
10/21/1926;13:15;Croydon - Paris;G-EBMS;12;10;2;0;0;0;English Channel,Imperial Airways,Handley Page W-10
11/11/1926;08:00;Casablanca -Dakar;F-AFAX;3;3;0;3;3;0;Cape Bojador, Morocco,Grands Express Aeriens,Breguet 14
12/16/1926;;;2;1;0;1;1;0;1;Medford, Oregon,Pacific Air Transport,Ryan M-1
01/12/1927;;Delivery flight;G-EBPL;0;0;2;0;0;2;Estaires, France,Fokker,Fokker F-VII
03/20/1927;;Casablanca - Oran;F-ALRA;1;0;1;1;0;1;Rabat, Morocco,Grands Express Aeriens,Breguet 14
03/24/1927;;Charleville - Tambo - Blackall;G-AUED;3;2;1;3;2;1;Tambo, Qld, Australia,Qantas,de Havilland DH-9C
04/15/1927;;;;1;0;1;1;0;1;King Hill, Idaho,Varney Air Lines,Swallow Swallow
04/22/1927;;Charleville - Tambo - Blackall;D-729;2;1;1;2;1;1;Floh, Germany,Deutsche Lufthansa,Fokker FG III
04/22/1927;;;626;1;0;1;1;0;1;Goshen, Indiana,US Aerial Mail Service,Douglas M-4
05/02/1927;;;F-AIFN;3;0;3;1;0;1;Algiers, Algeria,Air Union,SPCA Meteore 63
07/27/1927;;Kassel - Frankfurt;D-206;5;3;2;5;3;2;Amoneburg, Germany,Deutsche Lufthansa,Junkers F-13
08/22/1927;08:30;Croydon - Schiphol;H-NADU H-NADU;11;9;2;1;0;1;Sevenoaks, England,KLM Royal Dutch Airlines,Fokker F-VIII
09/03/1927;;;"NC52  	 NC52";1;0;1;1;0;1;Willington, Connecticut,Colonial Air Transport,Fokker Universal
09/17/1927;;Sightseeing;NC776;12;11;1;7;6;1;Hadley, New Jersey,Reynolds Airways,Fokker F-VII
09/17/1927;04:05;Old Orchad Beach - Rome;NX703;3;1;2;3;1;2;Atlantic Ocean,Private,Fokker F7
09/23/1927;10:00;Berlin - Munich;D-585;6;4;2;6;4;2;Schleiz, Germany,Deutsche Lufthansa,Dornier Merkur
10/06/1927;;Saint Louis - Dakar;F-AGBN;2;0;2;2;0;2;Thies, Mauritania,Lignes Aeriennes Latecoere,Breguet 14
10/30/1927;;;;4;3;1;4;3;1;New Brunswick, New Jersey,Colonial Air Transport,Fairchild FC-2
11/08/1927;;Strasbourg - Paris;F-AIBR;1;0;1;1;0;1;Strasburg, France,CIDNA,Farman F-121 Jabiru
11/16/1927;;Tallinn - Helsinki;K-SALD;6;4;2;6;4;2;Over the Gulf of Finland,Aero O-Y,Junkers F-13
11/29/1927;;;"NC62  	 NC1062";1;0;1;1;0;1;Corunna, Indiana,National Air Transport,Douglas M-4
12/28/1927;;Dakar - Casablanca - Alicante - Perpignan - Toulouse;F-AFGS;1;0;1;1;0;1;Almeria, Spain,Aeropostale,Breguet 14
12/31/1927;;Test flight;F-AIHP;5;0;5;5;0;5;Near Marseille,France,Latecoere Airlines,Latécoère 23 (flying boat)
01/08/1928;;Minola - Albany - Buffalo;NC3780;3;1;2;3;1;2;Near Canajoharie, New York,Colonial Western Airlines,Fairchild FC-2
01/16/1928;;Buenos Aires - Montevideo;F-AIKG;2;0;2;2;0;2;Solis, Uruguay,Aeropostale,Latecoere 25
01/22/1928;;Toulouse - Perpignan - Alicante - Casablanca - Dakar;  F-AHEQ;1;0;1;1;0;1;L'Hospitalet, Ariège,Aeropostale,Breguet 14
01/22/1928;;Casablanca - Alicante - Perpignan - Toulouse;F-AHEQ;2;0;2;2;0;2;Tarragona, Spain,Aeropostale,Breguet 14
01/27/1928;;Casablanca - Alicante - Perpignan - Toulouse;F-AFHN;1;0;1;1;0;1;Almeria, Spain,Aeropostale,Breguet 14
02/26/1928;;;NC280;2;1;1;1;1;0;Marquette, Nebraska,Boeing Air Transport,Boeing 40
03/11/1928;;Paris - Croydon;F-AEFC;2;0;2;2;0;2;Off Cape Griz Nez, France,Air Union,Farman F-60 Goliath
04/17/1928;;;NC282 NC282;2;1;1;1;1;0;Federal, Wyoming,Boeing Air Transport,Boeing 40
04/19/1928;;Barcelona - Madrid;M-CCCC;9;7;2;9;7;2;Minuesa, Spain,Iberia Airlines,Rohrbach Roland
05/07/1928;;;F-AIMQ;5;3;2;1;1;0;Florianopolis, Brazil Florianopolis, Brazil Florianopolis, Brazil,Aeropostale,Latecoere 26
05/12/1928;;Dearborn - Buffalo;NC1492;2;0;2;2;0;2;Dearborn, Minnesota,Ford Air Freight Inc.,Ford 4
05/26/1928;;Essen - Dortmund - Frankfurt;D-583;5;4;1;3;2;1;Radevormwald, Germany,Deutsche Lufthansa,Junkers F-13
06/14/1928;;;D-74;5;4;1;5;4;1;Frankfurt, Germany,Deutsche Lufthansa,AEGK
06/22/1928;;Chicago - Dallas;NC1059;1;0;1;1;0;1;Lebo, Kansas,National Air Transport,Douglas M-4
07/10/1928;;Tallinn - Helsinki;K-SALB;6;4;2;6;4;2;Over the Gulf of Finland,Aero O-Y,Junkers F-13
07/13/1928;;Testing;G-EBLB;6;5;1;4;4;0;Purley, England,Imperial Airways,Vickers 74 Vulcan
07/24/1928;14:48;Sightseeing over Rotterdam;H-NABR;6;5;1;1;1;0;Waalhaven, Netherlands,KLM Royal Dutch Airlines,Fokker (KLM) F.III
08/25/1928;11:00;Victoria - Seattle;G-CATX;7;5;2;7;5;2;Near Port Townsend, BC, Canada,British Columbia Airways,Ford 4-AT-B Tri Motor
09/02/1928;19:05:00;Toul - Clermont-Ferrand;F-AIEP;5;2;3;5;2;3;Toul, France,CIDNA,Bleriot Spad 33
09/04/1928;;Adelaide - Longreach;G-AUHI;2;0;2;1;0;1;Adelaide Hills, Australia,Qantas,de Havilland DH.50J
09/04/1928;11:30;Great Falls - Pocatello - Salt Lake City;NC7242;7;6;1;7;6;1;Pocatello, Idaho,National Parks Airways,Fokker Super Universal
09/06/1928;;;D-180;3;2;1;3;2;1;Heroldbach, Germany,Deutsche Lufthansa,Fokker FG III
10/04/1928;;Casablanca - Alicante - Barcelona - Perpignan - Toulouse;F-AEEJ F-AEEJ;3;2;1;3;2;1;Gerona, Spain,Aeropostale,Breguet 14
10/18/1928;;;NC1064;1;0;1;1;0;1;Polk, Pennsylvania,National Air Transport,Douglas M-4
10/31/1928;;Paris - Lyon - Marseille;F-AIMN;2;1;1;1;0;1;Valence, France,Air Union,Bleriot Spad 56
11/15/1928;;Marseille - Palma de Majorca;F-AISN;3;NULL;3;1;0;1;Off Gibraltar,Aeropostale,Latecoere 32
11/24/1928;;Cleveland - Chicago;NC7521;3;2;1;3;2;1;Edgerton, Ohio,Universal Airlines,Hamilton H-47
11/25/1928;;Cleveland - Louisville;NC5436;1;0;1;1;0;1;Edgerton, Ohio,Continental Air Lines,Travel Air 4000
11/25/1928;;;NC792;1;0;1;1;0;1;Bristolville, Ohio,National Air Transport,Douglas M-4
12/01/1928;10:00;San Antonio - Amarillo - Tulsa - Denver;NC7862;5;4;1;5;4;1;Spur, Texas,Sunbeam Air Transport Co.,Ford 4-AT-B Tri Motor
12/03/1928;08:00;Sightseeing;P-BACA;14;9;5;14;9;5;Near Rio de Janeiro,Brazil,Syndicato Condor,Dornier Wal
12/10/1928;10:45;Colfax - Spokane;NC7687;5;3;2;5;3;2;Spokan, Washington,Spokane Airways,Ford Tri-motor 4
12/11/1928;;Cologne -  Berlin;D-1473;4;1;3;3;0;3;Letzlingen, Germany,Deutsche Lufthansa,Junkers G-31
12/20/1928;;Cleveland - Chicago;NC790;1;0;1;1;0;1;Huron, Ohio,National Air Transport,Douglas M-4
12/23/1928;;;;4;3;1;4;3;1;Chattanooga, Tennessee,Interstate Airlines,Fairchild FC-2
12/31/1928;;Strasbourg - Paris;F-AEHX;3;2;1;2;2;0;Reims, France,CIDNA,Blériot Spad 66
01/05/1929;;;NC5650;1;0;1;1;0;1;Stafford Springs, Connecticut,Colonial Air Transport,Fairchild FC-2
01/18/1929;;Boise, ID - Pasco, WA;NC1682;1;0;1;1;0;1;Cove, Oregon,Varney Air Lines,Stearman C-38
01/25/1929;;Brindisi - Athens - Istanbul;I-AZDA;9;7;2;2;7;2;Near Corfu, Greece,Aeroespresso,CMASA Wal
01/31/1929;;Agadir - Casablanca;F-AIMU F-AIMU;2;0;2;2;0;2;Off Morocco,Aeropostale,Latecoere 26
01/31/1929;;;NC6480;1;0;1;1;0;1;Morgantown, West Virginia,Skyline Transportation Company,Travel Air 4000
03/17/1929;17:00;Sightseeing;NC7683;15;13;2;14;13;1;Newark, New Jersey,Colonial Western Airlines,Ford 5-AT-B Tri Motor
03/30/1929;09:18;Los Angeles - Phoenix - El Paso;NC7888;4;3;1;4;3;1;Near Beaumont, California,New Standard Airlines,Fokker F-VIIA
04/21/1929;11:45;San Diego - Phoenix;NC9636 / 28-037;6;3;3;6;3;3;San Diego, California,Maddux Airlines / Military - U.S.Army Air Force,Ford 5-AT-B Tri-Motor / B-PW-9D
05/09/1929;;Tampico - Brownsville, TX;M-SCAL;5;4;1;5;4;1;Tampico, Mexico,Mexicana,Ford Tri-motor 4
05/18/1929;;;H-MABC;2;0;2;2;0;2;Tököl,  Pest Hungary,MALERT,Fokker F-III
05/22/1929;;Algiers - Marseille;F-AISX;6;3;3;4;3;2;Algiers,Aeropostale,Cams 53
06/13/1929;08:00;Santiago de Cuba - Havana;NC9700;5;1;4;2;1;1;Santiago de Cuba, Cuba,Pan American Airways,Fokker F-X
06/14/1929;;Janeiro - Buenos Aires;F-AFEJ;2;0;2;1;0;1;Barcelona, Spain,Aeropostale,Breguet 14
06/17/1929;11:30;London - Paris - Basil - Zuric;G-EBMT;13;11;2;7;7;0;Off Dungeness, England,Imperial Airways,Handley Page W-10
06/24/1929;;St. Paul - Minneapolis;NC7416;8;6;2;1;0;1;St. Paul, Minnesota,Northwest Orient Airlines,Ford 5-AT-B Tri-Motor
06/29/1929;21:00;;D-1620;5;4;1;5;4;1;Near Lindau, Bavaria, Germany,Bodensee Aerolloyd,Domier Delphin III (flying boat)
06/29/1929;;;NC5435;1;0;1;1;0;1;Columbus, Ohio,Continental Air Lines,Travel Air 4000
08/11/1929;;;NC870E;4;2;2;4;2;2;Clovis, New Mexico,Middle States Airlines,Lockheed 5 Vega
08/24/1929;;;CCCP-217;1;0;1;1;0;1;Sochi, Russia,Ukvozduchput,Kalinin K-4
08/24/1929;;Frankfurt - Berlin;D-757;5;4;1;4;3;1;Elm, Germany,Deutsche Lufthansa,Fokker FG II
09/02/1929;;;NR859E;2;0;2;1;0;1;Needles, California,Associated Aviators,Lockheed Vega
09/03/1929;11:01;Albuquerque - Los Angeles;NC9649;8;5;3;8;5;3;Mt. Taylor, near Grants, New Mexico,Trans Continental Air Transport,Ford 5-AT-B Tri Motor
09/06/1929;;London, England - India;G-EBMZ;5;2;3;3;1;2;Jask, Iran,Imperial Airways,de Havilland DH-66 Hercules
09/14/1929;;Toulouse, France - Casablanca, Morocco;F-AIUJ;6;4;2;6;4;2;North Atlantic Ocean,Aeropostale,Latecoere 25
09/14/1929;18:00;Sightseeing;CF-ABE;6;5;1;6;5;1;Saint Catharines, Ontario,Skyways,Travel Air 6000
09/17/1929;;;;1;0;1;1;0;1;Mt Lamentation, Connecticut,Colonial Air Transport,Pitcairn PA-6 Mailwing
09/17/1929;;Toulouse - Perpignan - Barcelona - Alicante - Casablanca;F-AIUJ;5;3;2;5;3;2;Off Larache, Morocco,Aeropostale,Latecoere 25-3-R
09/17/1929;;Tijuana - Nogales;;2;0;2;1;0;1;Jacumba, California,Pickwick Airways,Fairchild 71
10/26/1929;18:00;Naples - Genoa;G-AADN;7;5;2;7;5;2;Off Spezia, Italy,Imperial Airways,Short Calcutta (flying boat)
10/29/1929;;Cleveland - Louisville;;1;0;1;1;0;1;Mount Vernon, Ohio,Continental Air Lines,Stearman C-38
10/31/1929;;Bremerton - Seattle;NC9158;2;0;2;2;0;2;Off Bremerton, Washington,Bremerton-Seattle Air Taxi / Gorst Air Lines,Loening C-2C
11/04/1929;07:00;Matamoros - Mexico City - Juarez;NC46M;4;3;1;4;3;1;Cerro del Carbon, Mexico,Corp. Aeronautica de Transportes,Lockheed Vega 5
11/06/1929;10:10;Croyden - Amsterdam - Berlin;D-903;8;4;4;7;3;4;Near Godstone, Surrey, England,Deutsche Lufthansa,Junkers G-24
11/16/1929;09:35;Marseille - Ajaccio - Tunis;F-AIGB;3;0;3;3;0;3;Off Corsica, France,Air Union,Liore et Olivier 190
11/20/1929;;Cagliari, Terranova - Rome;I-TACO;12;9;3;1;1;0;Terranova Pausania, East Sardinia,S.A.M. Società Aerea Mediterranea,Savoia Marchetti S55
11/30/1929;;;NC8199;1;0;1;1;0;1;Vancouver, Washington,Varney Air Lines,Stearman M-2 Speedmail
12/02/1929;;;NC789;1;0;1;1;0;1;Chagrin Falls, Ohio,National Air Transport,Douglas M-3
12/19/1929;;Marseille - Berlin;D-1594;3;0;2;2;0;2;Near Berlin, Germany,Deutsche Lufthansa,Arado V1
12/30/1929;17:00;Demonistration;;5;3;2;5;3;2;Amarillo, Texas,Trans Continental Air Transport,Travel Air B6000
